# ts,saccadeRate
3.005476556979576344e+03,2.000000000000000000e+00
3.010476556979576344e+03,1.399999999999999911e+00
3.015476556979576344e+03,1.399999999999999911e+00
3.020476556979576344e+03,1.600000000000000089e+00
3.025476556979576344e+03,2.200000000000000178e+00
3.030476556979576344e+03,1.399999999999999911e+00
3.035476556979576344e+03,1.000000000000000000e+00
3.040476556979576344e+03,1.000000000000000000e+00
3.045476556979576344e+03,4.000000000000000222e-01
3.050476556979576344e+03,1.000000000000000000e+00
3.055476556979576344e+03,1.199999999999999956e+00
3.060476556979576344e+03,1.799999999999999822e+00
3.065476556979576344e+03,1.399999999999999911e+00
3.070476556979576344e+03,1.800000000000000044e+00
3.075476556979576344e+03,1.600000000000000089e+00
3.080476556979576344e+03,2.399999999999999911e+00
3.085476556979576344e+03,2.600000000000000089e+00
3.090476556979576344e+03,2.599999999999999645e+00
3.095476556979576344e+03,2.799999999999999822e+00
3.100476556979576344e+03,2.000000000000000000e+00
3.105476556979576344e+03,2.200000000000000178e+00
3.110476556979576344e+03,2.799999999999999822e+00
3.115476556979576344e+03,1.799999999999999822e+00
3.120476556979576344e+03,2.599999999999999645e+00
